;X1;X2;X3;X4
1;65;0.029;0.00475;0.00465
2;96.85;0.02921;0.0048625;0.004911
3;128.7;0.02942;0.004975;0.005172
4;99.45;0.02963;0.0050875;0.005433
5;67.6;0.02984;0.0052;0.005694
6;35.75;0.03005;0.0053125;0.005955
7;3.9;0.03026;0.005425;0.006216
8;27.95;0.03047;0.0055375;0.006477
9;59.8;0.03068;0.00565;0.006738
10;91.65;0.03089;0.0057625;0.006999
11;123.5;0.0311;0.005875;0.00726
12;104.65;0.03131;0.0059875;0.007521
13;72.8;0.03152;0.0061;0.007782
14;40.95;0.03173;0.0062125;0.008043
15;9.1;0.03194;0.006325;0.008304
16;22.75;0.03215;0.0064375;0.008565
17;54.6;0.03236;0.00655;0.008826
18;86.45;0.03257;0.0066625;0.008913
19;118.3;0.03278;0.006775;0.008652
20;109.85;0.03299;0.0068875;0.008391
21;78;0.0332;0.007;0.00813
22;46.15;0.03341;0.0071125;0.007869
23;14.3;0.03362;0.007225;0.007608
24;17.55;0.03383;0.0073375;0.007347
25;49.4;0.03404;0.00745;0.007086
26;81.25;0.03425;0.0075625;0.006825
27;113.1;0.03446;0.007675;0.006564
28;115.05;0.03467;0.0077875;0.006303
29;83.2;0.03488;0.0079;0.006042
30;51.35;0.03509;0.0080125;0.005781
31;19.5;0.0353;0.008125;0.00552
32;12.35;0.03551;0.0082375;0.005259
33;44.2;0.03572;0.00835;0.004998
34;76.05;0.03593;0.0084625;0.004737
35;107.9;0.03614;0.008425;0.004476
36;120.25;0.03635;0.0083125;0.004215
