,plan1,plan2,plan3,plan4,sequence,combination
1,45,0.03,0.006,0.003,0,0
1,45,0.03,0.006,0.003,1,1
1,45,0.03,0.006,0.003,2,2
1,45,0.03,0.006,0.003,3,3
1,45,0.03,0.006,0.003,4,4
1,45,0.03,0.006,0.003,5,5
1,45,0.03,0.006,0.003,6,6
1,45,0.03,0.006,0.003,7,7
1,45,0.03,0.006,0.003,8,8
1,45,0.03,0.006,0.003,9,9
1,45,0.03,0.006,0.003,10,10
1,45,0.03,0.006,0.003,11,11
1,45,0.03,0.006,0.003,12,12
1,45,0.03,0.006,0.003,13,13
1,45,0.03,0.006,0.003,14,14
1,45,0.03,0.006,0.003,15,15
1,45,0.03,0.006,0.003,16,16
1,45,0.03,0.006,0.003,17,17
1,45,0.03,0.006,0.003,18,18
1,45,0.03,0.006,0.003,19,19
1,45,0.03,0.006,0.003,20,20
1,45,0.03,0.006,0.003,21,21
1,45,0.03,0.006,0.003,22,22
1,45,0.03,0.006,0.003,23,23
1,45,0.03,0.006,0.003,24,24
1,45,0.03,0.006,0.003,25,25
1,45,0.03,0.006,0.003,26,26
1,45,0.03,0.006,0.003,27,27
1,45,0.03,0.006,0.003,28,28
1,45,0.03,0.006,0.003,29,29
1,45,0.03,0.006,0.003,30,30
1,45,0.03,0.006,0.003,31,31
1,45,0.03,0.006,0.003,32,32
1,45,0.03,0.006,0.003,33,33
1,45,0.03,0.006,0.003,34,34
1,45,0.03,0.006,0.003,35,35
1,45,0.03,0.006,0.003,36,36
1,45,0.03,0.006,0.003,37,37
1,45,0.03,0.006,0.003,38,38
1,45,0.03,0.006,0.003,39,39
1,45,0.03,0.006,0.003,40,40
1,45,0.03,0.006,0.003,41,41
1,45,0.03,0.006,0.003,42,42
1,45,0.03,0.006,0.003,43,43
1,45,0.03,0.006,0.003,44,44
1,45,0.03,0.006,0.003,45,45
1,45,0.03,0.006,0.003,46,46
1,45,0.03,0.006,0.003,47,47
1,45,0.03,0.006,0.003,48,48
1,45,0.03,0.006,0.003,49,49
1,45,0.03,0.006,0.003,50,50
1,45,0.03,0.006,0.003,51,51
1,45,0.03,0.006,0.003,52,52
1,45,0.03,0.006,0.003,53,53
1,45,0.03,0.006,0.003,54,54
1,45,0.03,0.006,0.003,55,55
1,45,0.03,0.006,0.003,56,56
1,45,0.03,0.006,0.003,57,57
1,45,0.03,0.006,0.003,58,58
1,45,0.03,0.006,0.003,59,59
1,45,0.03,0.006,0.003,60,60
1,45,0.03,0.006,0.003,61,61
1,45,0.03,0.006,0.003,62,62
1,45,0.03,0.006,0.003,63,63
1,45,0.03,0.006,0.003,64,64
1,45,0.03,0.006,0.003,65,65
1,45,0.03,0.006,0.003,66,66
1,45,0.03,0.006,0.003,67,67
1,45,0.03,0.006,0.003,68,68
1,45,0.03,0.006,0.003,69,69
1,45,0.03,0.006,0.003,70,70
1,45,0.03,0.006,0.003,71,71
1,45,0.03,0.006,0.003,72,72
1,45,0.03,0.006,0.003,73,73
1,45,0.03,0.006,0.003,74,74
1,45,0.03,0.006,0.003,75,75
1,45,0.03,0.006,0.003,76,76
1,45,0.03,0.006,0.003,77,77
1,45,0.03,0.006,0.003,78,78
1,45,0.03,0.006,0.003,79,79
1,45,0.03,0.006,0.003,80,80
1,45,0.03,0.006,0.003,81,81
1,45,0.03,0.006,0.003,82,82
1,45,0.03,0.006,0.003,83,83
1,45,0.03,0.006,0.003,84,84
1,45,0.03,0.006,0.003,85,85
1,45,0.03,0.006,0.003,86,86
1,45,0.03,0.006,0.003,87,87
1,45,0.03,0.006,0.003,88,88
1,45,0.03,0.006,0.003,89,89
1,45,0.03,0.006,0.003,90,90
1,45,0.03,0.006,0.003,91,91
1,45,0.03,0.006,0.003,92,92
1,45,0.03,0.006,0.003,93,93
1,45,0.03,0.006,0.003,94,94
1,45,0.03,0.006,0.003,95,95
1,45,0.03,0.006,0.003,96,96
1,45,0.03,0.006,0.003,97,97
1,45,0.03,0.006,0.003,98,98
1,45,0.03,0.006,0.003,99,99
1,45,0.03,0.006,0.003,100,100
1,45,0.03,0.006,0.003,101,101
1,45,0.03,0.006,0.003,102,102
1,45,0.03,0.006,0.003,103,103
1,45,0.03,0.006,0.003,104,104
1,45,0.03,0.006,0.003,105,105
1,45,0.03,0.006,0.003,106,106
1,45,0.03,0.006,0.003,107,107
1,45,0.03,0.006,0.003,108,108
1,45,0.03,0.006,0.003,109,109
1,45,0.03,0.006,0.003,110,110
1,45,0.03,0.006,0.003,111,111
1,45,0.03,0.006,0.003,112,112
1,45,0.03,0.006,0.003,113,113
1,45,0.03,0.006,0.003,114,114
1,45,0.03,0.006,0.003,115,115
1,45,0.03,0.006,0.003,116,116
1,45,0.03,0.006,0.003,117,117
1,45,0.03,0.006,0.003,118,118
1,45,0.03,0.006,0.003,119,119
1,45,0.03,0.006,0.003,120,120
1,45,0.03,0.006,0.003,121,121
1,45,0.03,0.006,0.003,122,122
1,45,0.03,0.006,0.003,123,123
1,45,0.03,0.006,0.003,124,124
1,45,0.03,0.006,0.003,125,125
1,45,0.03,0.006,0.003,126,126
1,45,0.03,0.006,0.003,127,127
1,45,0.03,0.006,0.003,128,128
1,45,0.03,0.006,0.003,129,129
1,45,0.03,0.006,0.003,130,130
1,45,0.03,0.006,0.003,131,131
1,45,0.03,0.006,0.003,132,132
1,45,0.03,0.006,0.003,133,133
1,45,0.03,0.006,0.003,134,134
1,45,0.03,0.006,0.003,135,135
1,45,0.03,0.006,0.003,136,136
1,45,0.03,0.006,0.003,137,137
1,45,0.03,0.006,0.003,138,138
1,45,0.03,0.006,0.003,139,139
1,45,0.03,0.006,0.003,140,140
1,45,0.03,0.006,0.003,141,141
1,45,0.03,0.006,0.003,142,142
